Class,Precision,Recall,F1-Score,Support
games,1.0,0.08333333333333333,0.15384615384615385,24
geometry,1.0,0.16666666666666666,0.2857142857142857,30
graphs,0.925,0.33636363636363636,0.49333333333333335,110
math,0.8065573770491803,0.8880866425992779,0.8453608247422679,277
number theory,1.0,0.08064516129032258,0.1492537313432836,62
probabilities,0.0,0.0,0.0,17
strings,0.9166666666666666,0.55,0.6874999999999999,80
trees,0.9333333333333333,0.22580645161290322,0.36363636363636365,62
