Class,Precision,Recall,F1-Score,Support
games,0.8076923076923077,0.75,0.7777777777777779,28
geometry,0.625,0.5882352941176471,0.6060606060606061,34
graphs,0.8253968253968254,0.49056603773584906,0.6153846153846153,106
math,0.8142857142857143,0.8351648351648352,0.8245931283905968,273
number theory,0.7916666666666666,0.3114754098360656,0.4470588235294118,61
probabilities,0.6666666666666666,0.5333333333333333,0.5925925925925926,15
strings,0.9210526315789473,0.813953488372093,0.8641975308641974,86
trees,0.8,0.6557377049180327,0.7207207207207207,61
